PointID,WMA,Date,Time,Trap,Species,Sex,Wgt,HindFt,TailLgth,BodyLgth,TotalLgth,Comments,Column1
1357,LC,9/12/2010,9:17:00 AM,GR,BMGOMO,F,26,16,79,93,172,,
1380,LC,9/25/2010,9:15:00 AM,GR,BMWHMO,F,18,18,64,61,125,,1
1380,LC,9/25/2010,9:17:00 AM,GR,BMWHMO,M,24,19,60,68,128,,
1380,LC,9/26/2010,8:35:00 AM,GR,BMHCRA,F,23,22,64,75,139,Juvenile,1
1380,LC,9/26/2010,8:36:00 AM,GR,BMWHMO,M,20,18,64,76,140,,1
1380,LC,9/26/2010,8:38:00 AM,GR,BMHCRA,M,139,30,92,150,262,,
1380,LC,9/26/2010,8:40:00 AM,GR,BMHCRA,F,121,29,90,125,215,,
1380,LC,9/26/2010,8:45:00 AM,GR,BMWHMO,F,27,19,67,68,135,,
1380,LC,9/27/2010,10:00:00 AM,GR,BMWHMO,F,18,18,62,75,137,,1
1380,LC,9/27/2010,10:14:00 AM,GR,BMCOMO,M,21,22,56,70,136,,1
1380,LC,9/27/2010,10:16:00 AM,GR,BMHCRA,M,128,34,110,140,250,,1
1380,LC,9/27/2010,10:20:00 AM,GR,BMHCRA,F,78,26,90,128,218,,
1380,LC,9/27/2010,10:22:00 AM,GR,BMHCRA,F,77,35,90,113,203,,
1388,LC,9/7/2010,9:34:00 AM,TR,BMCOMO,M,30,23,69,94,163,,1
1388,LC,9/7/2010,9:44:00 AM,TR,BMCOMO,F,33,23,73,78,151,,
1388,LC,9/7/2010,9:48:00 AM,GR,BMCOMO,M,19,15,15,85,100,,
1388,LC,9/7/2010,9:52:00 AM,GR,BMWOVO,F,36,23,69,85,154,,1
1388,LC,9/7/2010,9:54:00 AM,GR,BMCOMO,M,31,21,63,85,148,,
1388,LC,9/7/2010,9:57:00 AM,GR,BMWHMO,F,22,22,71,84,155,,1
1388,LC,9/7/2010,10:01:00 AM,GR,BMCOMO,M,31,20,0,76,76,No tail,
1388,LC,9/7/2010,10:04:00 AM,GR,BMWHMO,F,26,16,77,86,161,,
1388,LC,9/8/2010,9:20:00 AM,GR,BMGOMO,M,32,22,69,84,153,,1
1388,LC,9/8/2010,9:23:00 AM,GR,BMCOMO,F,20,17,65,85,150,,1
1388,LC,9/8/2010,9:25:00 AM,TR,BMGOMO,M,28,20,70,85,155,,
1388,LC,9/8/2010,9:29:00 AM,TR,BMWHMO,F,24,16,78,83,161,,1
1388,LC,9/8/2010,9:34:00 AM,GR,BMGOMO,M,19,16,77,77,154,,
1388,LC,9/8/2010,9:36:00 AM,GR,BMCOMO,M,30,22,0,86,86,No tail,
1388,LC,9/8/2010,9:40:00 AM,GR,BMCOMO,F,24,22,73,84,157,,
