"","GRP_NUM","Group_Name","GRP_ID","Point","X_2","Y_2"
"256",9,"Barbour","BA",4068,-85.4546087171,32.0037219649
"257",9,"Barbour","BA",4069,-85.4517552078,32.0034535793
"258",9,"Barbour","BA",4070,-85.4489017176,32.0031851213
"259",9,"Barbour","BA",4071,-85.4460482465,32.0029165909
"260",9,"Barbour","BA",4072,-85.4431947945,32.002647988
"261",9,"Barbour","BA",4073,-85.4175145873,32.0002273023
"262",9,"Barbour","BA",4074,-85.4146613266,31.9999579751
"263",9,"Barbour","BA",4075,-85.4118080852,31.9996885754
"264",9,"Barbour","BA",4076,-85.4089548629,31.9994191032
"265",9,"Barbour","BA",4077,-85.5091453462,32.0063990065
"266",9,"Barbour","BA",4078,-85.5062915596,32.0061320043
"267",9,"Barbour","BA",4079,-85.503437792,32.0058649297
"268",9,"Barbour","BA",4080,-85.5005840435,32.0055977826
"269",9,"Barbour","BA",4081,-85.4977303139,32.0053305631
"270",9,"Barbour","BA",4082,-85.4948766033,32.0050632712
"271",9,"Barbour","BA",4083,-85.4920229118,32.0047959068
"272",9,"Barbour","BA",4084,-85.4891692393,32.0045284699
"273",9,"Barbour","BA",4085,-85.4863155859,32.0042609606
"274",9,"Barbour","BA",4086,-85.4834619514,32.0039933788
"275",9,"Barbour","BA",4087,-85.480608336,32.0037257246
"276",9,"Barbour","BA",4088,-85.4777547397,32.003457998
"277",9,"Barbour","BA",4089,-85.4749011624,32.0031901989
"278",9,"Barbour","BA",4090,-85.4720476042,32.0029223273
"279",9,"Barbour","BA",4091,-85.469194065,32.0026543833
"280",9,"Barbour","BA",4092,-85.4663405449,32.0023863669
"281",9,"Barbour","BA",4093,-85.4634870439,32.002118278
"282",9,"Barbour","BA",4094,-85.460633562,32.0018501167
"283",9,"Barbour","BA",4095,-85.4577800991,32.0015818829
"284",9,"Barbour","BA",4096,-85.4549266553,32.0013135767
"285",9,"Barbour","BA",4097,-85.4520732306,32.0010451981
"286",9,"Barbour","BA",4098,-85.4178336254,31.9978190042
"287",9,"Barbour","BA",4099,-85.4149804493,31.9975496839
"288",9,"Barbour","BA",4100,-85.4121272924,31.9972802911
"289",9,"Barbour","BA",4101,-85.4092741547,31.9970108259
"290",9,"Barbour","BA",4102,-85.5094616575,32.0039904761
"291",9,"Barbour","BA",4103,-85.5066079555,32.0037234808
"292",9,"Barbour","BA",4104,-85.5037542726,32.0034564131
"293",9,"Barbour","BA",4105,-85.5009006086,32.0031892729
"294",9,"Barbour","BA",4106,-85.4980469637,32.0029220603
"295",9,"Barbour","BA",4107,-85.4951933378,32.0026547752
"296",9,"Barbour","BA",4108,-85.4923397309,32.0023874177
"297",9,"Barbour","BA",4109,-85.489486143,32.0021199877
"298",9,"Barbour","BA",4110,-85.4866325742,32.0018524853
"299",9,"Barbour","BA",4111,-85.4837790244,32.0015849105
"300",9,"Barbour","BA",4112,-85.4723650156,32.0005138865
"301",9,"Barbour","BA",4113,-85.4695115611,32.0002459495
"302",9,"Barbour","BA",4114,-85.4666581256,31.9999779399
"303",9,"Barbour","BA",4115,-85.4638047092,31.999709858
"304",9,"Barbour","BA",4116,-85.4609513119,31.9994417035
"305",9,"Barbour","BA",4117,-85.4580979336,31.9991734767
"306",9,"Barbour","BA",4118,-85.4552445745,31.9989051774
"307",9,"Barbour","BA",4119,-85.4523912344,31.9986368057
"308",9,"Barbour","BA",4120,-85.4267120335,31.9962182004
"309",9,"Barbour","BA",4121,-85.4238588846,31.9959491043
"310",9,"Barbour","BA",4122,-85.4210057549,31.9956799358
"311",9,"Barbour","BA",4123,-85.4181526443,31.9954106949
"312",9,"Barbour","BA",4124,-85.4152995528,31.9951413815
"313",9,"Barbour","BA",4125,-85.4124464805,31.9948719957
"314",9,"Barbour","BA",4126,-85.4095934274,31.9946025374
"315",9,"Barbour","BA",4127,-85.512631586,32.0018488506
"316",9,"Barbour","BA",4128,-85.5097779497,32.0015819346
"317",9,"Barbour","BA",4129,-85.5069243324,32.0013149462
"318",9,"Barbour","BA",4130,-85.5040707341,32.0010478854
"319",9,"Barbour","BA",4131,-85.5012171548,32.0007807521
"320",9,"Barbour","BA",4132,-85.4983635945,32.0005135463
"321",9,"Barbour","BA",4133,-85.4955100532,32.0002462681
"322",9,"Barbour","BA",4134,-85.4926565309,31.9999789175
"323",9,"Barbour","BA",4135,-85.4898030277,31.9997114944
"324",9,"Barbour","BA",4136,-85.4869495435,31.9994439989
"325",9,"Barbour","BA",4137,-85.472682408,31.9981054346
"326",9,"Barbour","BA",4138,-85.4698290381,31.9978375044
"327",9,"Barbour","BA",4139,-85.4669756872,31.9975695018
"328",9,"Barbour","BA",4140,-85.4641223554,31.9973014267
"329",9,"Barbour","BA",4141,-85.4612690427,31.9970332792
"330",9,"Barbour","BA",4142,-85.4584157491,31.9967650593
"331",9,"Barbour","BA",4143,-85.4555624745,31.9964967669
"332",9,"Barbour","BA",4144,-85.452709219,31.9962284021
"333",9,"Barbour","BA",4145,-85.4498559827,31.9959599648
"334",9,"Barbour","BA",4146,-85.4470027654,31.9956914551
"335",9,"Barbour","BA",4147,-85.429883863,31.9940788758
"336",9,"Barbour","BA",4148,-85.4270307796,31.9938098591
"337",9,"Barbour","BA",4149,-85.4241777153,31.99354077
"338",9,"Barbour","BA",4150,-85.4213246701,31.9932716084
"339",9,"Barbour","BA",4151,-85.4184716441,31.9930023743
"340",9,"Barbour","BA",4152,-85.4156186372,31.9927330679
"341",9,"Barbour","BA",4153,-85.4127656495,31.992463689
"342",9,"Barbour","BA",4154,-85.4099126809,31.9921942377
"343",9,"Barbour","BA",4155,-85.5158013453,31.9997071277
"344",9,"Barbour","BA",4156,-85.5129477746,31.999440291
"345",9,"Barbour","BA",4157,-85.5100942229,31.9991733819
"346",9,"Barbour","BA",4158,-85.5072406903,31.9989064004
"347",9,"Barbour","BA",4159,-85.5043871766,31.9986393465
"348",9,"Barbour","BA",4160,-85.5015336819,31.99837222
"349",9,"Barbour","BA",4161,-85.4986802062,31.9981050212
"350",9,"Barbour","BA",4162,-85.4958267496,31.9978377499
"351",9,"Barbour","BA",4163,-85.4929733119,31.9975704061
"352",9,"Barbour","BA",4164,-85.4901198933,31.9973029899
"353",9,"Barbour","BA",4165,-85.4872664937,31.9970355013
"354",9,"Barbour","BA",4166,-85.4729997814,31.9956969715
"355",9,"Barbour","BA",4167,-85.470146496,31.9954290482
"356",9,"Barbour","BA",4168,-85.4672932298,31.9951610525
"357",9,"Barbour","BA",4169,-85.4644399826,31.9948929843
"358",9,"Barbour","BA",4170,-85.4615867545,31.9946248437
"359",9,"Barbour","BA",4171,-85.4587335454,31.9943566307
"360",9,"Barbour","BA",4172,-85.4558803555,31.9940883452
"361",9,"Barbour","BA",4173,-85.4530271846,31.9938199873
"362",9,"Barbour","BA",4174,-85.4330555233,31.9919394538
"363",9,"Barbour","BA",4175,-85.4302025053,31.9916705164
"364",9,"Barbour","BA",4176,-85.4273495064,31.9914015066
"365",9,"Barbour","BA",4177,-85.4244965267,31.9911324244
"366",9,"Barbour","BA",4178,-85.4216435661,31.9908632697
"367",9,"Barbour","BA",4179,-85.4187906247,31.9905940427
"368",9,"Barbour","BA",4180,-85.4159377024,31.9903247431
"369",9,"Barbour","BA",4181,-85.4130847992,31.9900553712
"370",9,"Barbour","BA",4182,-85.4102319153,31.9897859268
"371",9,"Barbour","BA",4183,-85.5189709353,31.9975653074
"372",9,"Barbour","BA",4184,-85.5161174303,31.9972985501
"373",9,"Barbour","BA",4185,-85.5132639442,31.9970317203
"374",9,"Barbour","BA",4186,-85.5104104772,31.9967648181
"375",9,"Barbour","BA",4187,-85.5075570292,31.9964978435
"376",9,"Barbour","BA",4188,-85.5047036001,31.9962307964
"377",9,"Barbour","BA",4189,-85.50185019,31.9959636768
"378",9,"Barbour","BA",4190,-85.498996799,31.9956964849
"379",9,"Barbour","BA",4191,-85.496143427,31.9954292204
"380",9,"Barbour","BA",4192,-85.4932900739,31.9951618836
"381",9,"Barbour","BA",4193,-85.4904367399,31.9948944743
"382",9,"Barbour","BA",4194,-85.487583425,31.9946269925
"383",9,"Barbour","BA",4195,-85.484730129,31.9943594383
